Entrez_Gene_Id	TCGA-AB-2805-03A	TCGA-AB-2806-03A	TCGA-AB-2808-03A	TCGA-AB-2810-03A	TCGA-AB-2812-03A	TCGA-AB-2813-03A	TCGA-AB-2814-03A	TCGA-AB-2815-03A	TCGA-AB-2817-03A	TCGA-AB-2818-03A	TCGA-AB-2819-03A	TCGA-AB-2820-03A	TCGA-AB-2821-03A	TCGA-AB-2822-03A	TCGA-AB-2823-03A	TCGA-AB-2825-03A	TCGA-AB-2826-03A	TCGA-AB-2828-03A	TCGA-AB-2830-03A	TCGA-AB-2834-03A
1	2.8093	7.236	1.808	2.0996	1.6488	1.6332	3.1812	2.0823	3.3671	2.4152	0.9047	6.3209	2.7242	7.366	4.7211	1.6211	0.376	1.0821	1.5192	2.3695
10	0.0	0.1412	0.0	0.0	0.0	1.0426	0.825	0.0	0.0	0.3378	0.0	0.2174	0.0883	0.0807	0.0	0.0	0.0	0.0	0.7137	0.0776
100	82.9032	38.3316	69.3986	255.3163	85.3766	21.284	121.2837	40.9769	83.5443	31.7955	38.3181	69.1058	120.3464	78.0582	64.2406	23.8633	68.9693	31.7412	266.4772	56.884
1000	0.0122	0.0528	0.064	11.2172	0.1024	0.5658	0.0898	0.0101	2.5687	0.0	0.0096	0.0651	6.2405	0.0363	0.0232	0.0453	0.2725	0.0117	0.414	0.0116
10000	48.0038	3.1466	2.2861	1.2492	1.7691	2.262	3.909	6.4795	27.9575	4.2063	1.0624	18.4477	16.865	25.0307	5.6488	8.6701	8.9489	7.7616	3.9583	2.9756
100008586	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
100009613	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0993
100009667	8.1378	7.0308	5.2854	0.8507	5.2106	7.7627	6.1516	4.2184	13.7173	5.2777	5.1236	11.8854	12.5896	4.5713	9.967	12.6109	2.5393	4.894	7.3168	4.0928
100009668	20.0442	3.8483	2.496	6.0781	1.776	3.5524	2.9205	2.5409	21.373	3.0693	4.5682	5.6426	6.1897	4.9241	9.1338	2.6193	3.7974	0.5082	1.3895	3.627
100009669	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
100009676	7.8085	4.9936	2.8027	5.3567	5.4164	2.3506	6.0432	6.7039	6.689	4.8663	3.4474	3.7675	4.0129	5.0669	4.9992	5.1522	3.6548	5.3197	5.8088	4.9089
10001	16.8975	18.4259	16.9854	24.5447	13.4607	11.0549	15.3506	11.246	15.4666	15.4076	14.9486	16.5836	16.2458	15.9551	12.789	12.3847	11.1284	13.0472	12.1721	16.4307
10002	1.1004	0.6711	0.5925	0.5177	2.3577	0.413	1.2478	0.6952	1.1859	0.5687	1.5715	0.861	0.6996	0.6075	0.9496	0.8393	0.5666	0.4033	0.4594	0.7994
10003	2.9588	1.6578	1.1491	0.4881	2.1708	0.7126	2.5411	1.7425	1.7959	2.4526	0.7801	3.5069	2.5172	1.7219	1.4556	2.1344	0.8508	1.4039	2.1109	1.2384
100033392	0.0	0.0	0.0648	0.0991	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0735	0.0	0.0	0.0	0.0	0.0	0.0
100033398	0.1231	0.5317	0.0	0.3281	0.0	0.0	0.113	0.2034	0.8673	0.2544	0.0964	0.6549	0.0	0.4864	0.0	0.0	0.0979	0.5899	0.6719	0.0
100033407	0.2994	0.1725	0.435	0.0	0.0	0.5572	0.4581	0.2474	0.422	0.0	0.0	0.6638	0.2157	0.493	0.0	0.493	0.0	0.1913	0.5448	0.7585
100033409	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
100033411	0.376	6.0907	1.1471	0.0	1.2593	0.9745	3.7963	1.9414	3.1792	3.8862	1.2514	2.0004	0.7111	8.5428	2.5798	1.7411	0.5983	2.3424	1.642	1.9645
100033413	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
100033414	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
100033415	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
100033416	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
100033417	0.0	1.9097	0.0	0.0	0.0	0.0	3.0434	0.9131	1.5575	0.0	0.0	0.0	0.0	1.0918	0.0	0.0	0.0	3.1779	0.0	0.0
100033418	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
100033419	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
100033420	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
100033421	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
100033422	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4507	0.0	0.0	0.0	0.0	2.0337	0.0	0.0	0.0	0.0	0.0	0.9779
100033423	0.0	0.0	0.0	0.0	0.0	0.0	1.0476	0.0	0.0	0.0	2.6813	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
100033424	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
100033425	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
100033426	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
100033427	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
100033428	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
100033429	2.2825	0.986	0.0	0.0	0.9556	0.9102	2.0951	0.0	1.6083	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.2815	0.0	0.0
100033430	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
