Hugo_Symbol,TCGA-AB-2831,TCGA-AB-2838,TCGA-AB-2869,TCGA-AB-2871,TCGA-AB-2872,TCGA-AB-2873,TCGA-AB-2874,TCGA-AB-2875,TCGA-AB-2876,TCGA-AB-2877,TCGA-AB-2878,TCGA-AB-2879,TCGA-AB-2880,TCGA-AB-2881,TCGA-AB-2882,TCGA-AB-2883,TCGA-AB-2884,TCGA-AB-2885,TCGA-AB-2886,TCGA-AB-2887,TCGA-AB-2888,TCGA-AB-2889,TCGA-AB-2890,TCGA-AB-2891,TCGA-AB-2893,TCGA-AB-2895,TCGA-AB-2896,TCGA-AB-2897,TCGA-AB-2898,TCGA-AB-2899,TCGA-AB-2900,TCGA-AB-2901,TCGA-AB-2904,TCGA-AB-2908,TCGA-AB-2910,TCGA-AB-2911,TCGA-AB-2912,TCGA-AB-2913,TCGA-AB-2914,TCGA-AB-2915,TCGA-AB-2916,TCGA-AB-2917,TCGA-AB-2918,TCGA-AB-2919,TCGA-AB-2920,TCGA-AB-2921,TCGA-AB-2922,TCGA-AB-2923,TCGA-AB-2924,TCGA-AB-2925,TCGA-AB-2927,TCGA-AB-2931,TCGA-AB-2933,TCGA-AB-2934,TCGA-AB-2935,TCGA-AB-2936,TCGA-AB-2937,TCGA-AB-2938,TCGA-AB-2939,TCGA-AB-2940,TCGA-AB-2941,TCGA-AB-2942,TCGA-AB-2943,TCGA-AB-2944,TCGA-AB-2945,TCGA-AB-2949,TCGA-AB-2950,TCGA-AB-2954,TCGA-AB-2956,TCGA-AB-2957,TCGA-AB-2959
ABCB1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAMTS18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADGRF5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADGRG4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADGRL4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADSS2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKR7A2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALG13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
